V Amalu | Gudiyattam | DMK | 8th Pass,"Babu | Cheyyur | VCK | ? 15,89,17,070",Babu | Cheyyur | VCK | 0,,,
T J Govindarajan | Gummidipoondi | DMK | 10th Pass,"K.a.pandian | Chidambaram | AIADMK | ? 6,20,79,604",K.a.pandian | Chidambaram | AIADMK | 0,,,
Sekar Babu | Harbour | DMK | 10th Pass,"Amman Archunan | Coimbatore (North) | AIADMK | ? 12,78,57,798",Amman Archunan | Coimbatore (North) | AIADMK | 0,,,
V.sampathkumar | Harur | AIADMK | Graduate Professional,"Vanathi Srinivasan | Coimbatore (South) | BJP | ? 9,41,34,507",Vanathi Srinivasan | Coimbatore (South) | BJP | 2,,,
Y Prakash | Hosur | DMK | 10th Pass,"Prince | Colachel | INC | ? 68,72,055",Prince | Colachel | INC | 73,,,
K S K Kannan | Jayankondam | DMK | Post Graduate,"K. Ramachandran | Coonoor | DMK | ? 10,54,41,336",K. Ramachandran | Coonoor | DMK | 3,,,
Devaraji | Jolarpet | DMK | 8th Pass,"Ko Ayyappan | Cuddalore | DMK | ? 2,34,70,563",Ko Ayyappan | Cuddalore | DMK | 0,,,
Krishnamurali | Kadayanallur | AIADMK | Graduate,"Cumbum Ramakrishnan | Cumbum | DMK | ? 7,38,91,559",Cumbum Ramakrishnan | Cumbum | DMK | 7,,,
Pe Su Thi Saravanan | Kalasapakkam | DMK | Post Graduate,"Kayalvizhi Selvaraj | Dharapuram (SC) | DMK | ? 4,17,07,053",Kayalvizhi Selvaraj | Dharapuram (SC) | DMK | 0,,,
Senthilkumar | Kallakurichi | AIADMK | 12th Pass,"S.p.venkateshwaran | Dharmapuri | PMK | ? 1,35,97,461",S.p.venkateshwaran | Dharmapuri | PMK | 4,,,
Ezhilarasan | Kancheepuram | DMK | Graduate Professional,"Srinivasan | Dindigul | AIADMK | ? 7,75,39,989",Srinivasan | Dindigul | AIADMK | 0,,,
Saminathan | Kangayam | DMK | Graduate,"J J Ebenesar | Dr.radhakrishnan Nagar | DMK | ? 15,80,302",J J Ebenesar | Dr.radhakrishnan Nagar | DMK | 0,,,
Thalavai Sundaram | Kanniyakumari | AIADMK | Graduate Professional,"Palaniswami K | Edappadi | AIADMK | ? 6,70,37,269",Palaniswami K | Edappadi | AIADMK | 0,,,
S.mangudi | Karaikudi | INC | Graduate,"Parandhaman | Egmore | DMK | ? 1,12,46,806",Parandhaman | Egmore | DMK | 0,,,
Senthil Balaji | Karur | DMK | Graduate,"Thirumagan Evera | Erode (East) | INC | ? 2,40,39,279",Thirumagan Evera | Erode (East) | INC | 0,,,
Durai Murugan | Katpadi | DMK | Post Graduate,"S. Muthusami | Erode (West) | DMK | ? 13,68,62,340",S. Muthusami | Erode (West) | DMK | 9,,,
Sindhanaiselvan | Kattumannarkoil (SC) | VCK | Others,"M.chinnadurai | Gandharvakottai | CPM | ? 4,73,200",M.chinnadurai | Gandharvakottai | CPM | 0,,,
Arunkumar | Kavundampalayam | AIADMK | 10th Pass,"Nallathambi | Gangavalli | AIADMK | ? 56,31,971",Nallathambi | Gangavalli | AIADMK | 0,,,
S.rajeshkumar | Killiyoor | INC | Post Graduate,"K S Masthan | Gingee | DMK | ? 2,93,00,042",K S Masthan | Gingee | DMK | 29,,,
Ku Pichchaandi | Kilpennathur | DMK | Post Graduate,"K.a.sengottayan | Gobichettipalayam | AIADMK | ? 12,39,14,561",K.a.sengottayan | Gobichettipalayam | AIADMK | 0,,,
M. Jaganmoorthy | Kilvaithinankuppam | PBK | 12th Pass,"Pon Jeyaseelan | Gudalur | AIADMK | ? 31,10,871",Pon Jeyaseelan | Gudalur | AIADMK | 0,,,
Maali | Kilvelur | CPM | Graduate Professional,"V Amalu | Gudiyattam | DMK | ? 33,75,763",V Amalu | Gudiyattam | DMK | 0,,,
Dhamodharan | Kinathukadavu | AIADMK | 10th Pass,"T J Govindarajan | Gummidipoondi | DMK | ? 7,48,80,993",T J Govindarajan | Gummidipoondi | DMK | 0,,,
M K Stalin | Kolathur | DMK | Graduate,"Sekar Babu | Harbour | DMK | ? 2,10,54,762",Sekar Babu | Harbour | DMK | 25,,,
Kadambur Raju | Kovilpatti | AIADMK | 12th Pass,"V.sampathkumar | Harur | AIADMK | ? 70,80,103",V.sampathkumar | Harur | AIADMK | 0,,,
Ashok Kumar | Krishnagiri | AIADMK | 10th Pass,"Y Prakash | Hosur | DMK | ? 7,85,53,505",Y Prakash | Hosur | DMK | 0,,,
K.sivakamasundari | Krishnarayapuram | DMK | Post Graduate,"K S K Kannan | Jayankondam | DMK | ? 12,63,49,042",K S K Kannan | Jayankondam | DMK | 21,,,
R.manickam | Kulithalai | DMK | 12th Pass,"Devaraji | Jolarpet | DMK | ? 2,97,04,329",Devaraji | Jolarpet | DMK | 3,,,
Thangamani | Kumarapalayam | AIADMK | 10th Pass,"Krishnamurali | Kadayanallur | AIADMK | ? 3,14,80,837",Krishnamurali | Kadayanallur | AIADMK | 1,,,
Anbazhagan | Kumbakonam | DMK | 10th Pass,"Pe Su Thi Saravanan | Kalasapakkam | DMK | ? 4,49,63,590",Pe Su Thi Saravanan | Kalasapakkam | DMK | 1,,,
S S Sivashankar | Kunnam | DMK | Graduate Professional,"Senthilkumar | Kallakurichi | AIADMK | ? 54,91,198",Senthilkumar | Kallakurichi | AIADMK | 0,,,
M R K Panneerselvam | Kurinjipadi | DMK | Graduate Professional,"Ezhilarasan | Kancheepuram | DMK | ? 7,14,55,672",Ezhilarasan | Kancheepuram | DMK | 5,,,
A.soundrapandiyan | Lalgudi | DMK | 12th Pass,"Saminathan | Kangayam | DMK | ? 21,07,97,652",Saminathan | Kangayam | DMK | 3,,,
C.mahendran | Madathukulam | AIADMK | Post Graduate,"Thalavai Sundaram | Kanniyakumari | AIADMK | ? 1,99,70,097",Thalavai Sundaram | Kanniyakumari | AIADMK | 1,,,
Sudharsanam | Madavaram | DMK | Post Graduate,"S.mangudi | Karaikudi | INC | ? 5,38,87,265",S.mangudi | Karaikudi | INC | 9,,,
Karapakkam Ganapathi | Maduravoyal | DMK | 8th Pass,"Senthil Balaji | Karur | DMK | ? 2,92,70,169",Senthil Balaji | Karur | DMK | 30,,,
P. T. R. Palanivel Thiagarajan | Madurai Central | DMK | Doctorate,"Durai Murugan | Katpadi | DMK | ? 30,80,92,291",Durai Murugan | Katpadi | DMK | 8,,,
P Moorthi | Madurai East | DMK | 12th Pass,"Sindhanaiselvan | Kattumannarkoil (SC) | VCK | ? 95,62,905",Sindhanaiselvan | Kattumannarkoil (SC) | VCK | 1,,,
Ko Thalapathi | Madurai North | DMK | 10th Pass,"Arunkumar | Kavundampalayam | AIADMK | ? 3,65,89,365",Arunkumar | Kavundampalayam | AIADMK | 0,,,
Bhoominathan | Madurai South | MDMK | 5th Pass,"S.rajeshkumar | Killiyoor | INC | ? 2,10,18,347",S.rajeshkumar | Killiyoor | INC | 52,,,
Sellur K.raju | Madurai West | AIADMK | Graduate,"Ku Pichchaandi | Kilpennathur | DMK | ? 3,49,67,503",Ku Pichchaandi | Kilpennathur | DMK | 0,,,
Maragatham Kumaravel | Madurantakam | AIADMK | Post Graduate,"M. Jaganmoorthy | Kilvaithinankuppam | PBK | ? 1,33,51,510",M. Jaganmoorthy | Kilvaithinankuppam | PBK | 2,,,
Sivakumar | Mailam | PMK | 8th Pass,"Maali | Kilvelur | CPM | ? 19,38,170",Maali | Kilvelur | CPM | 0,,,
C.kathiravan | Manachanallur | DMK | 12th Pass,"Dhamodharan | Kinathukadavu | AIADMK | ? 5,12,51,260",Dhamodharan | Kinathukadavu | AIADMK | 0,,,
Tamilarasi | Manamadurai | DMK | Graduate,"M K Stalin | Kolathur | DMK | ? 8,88,75,339",M K Stalin | Kolathur | DMK | 47,,,
Abdul Samadh | Manapparai | MMK | 10th Pass,"Kadambur Raju | Kovilpatti | AIADMK | ? 2,15,06,562",Kadambur Raju | Kovilpatti | AIADMK | 2,,,
Trb Raja | Mannargudi | DMK | Post Graduate,"Ashok Kumar | Krishnagiri | AIADMK | ? 36,12,824",Ashok Kumar | Krishnagiri | AIADMK | 0,,,
Rajakumar | Mayiladuthurai | INC | Post Graduate,"K.sivakamasundari | Krishnarayapuram | DMK | ? 64,36,018",K.sivakamasundari | Krishnarayapuram | DMK | 0,,,
Periyapulla @ Selvam | Melur | AIADMK | Graduate,"R.manickam | Kulithalai | DMK | ? 1,32,28,629",R.manickam | Kulithalai | DMK | 6,,,
A.k.selvaraj | Mettuppalayam | AIADMK | Graduate,"Thangamani | Kumarapalayam | AIADMK | ? 1,86,81,256",Thangamani | Kumarapalayam | AIADMK | 0,,,
Sadhasivam | Mettur | PMK | Post Graduate,"Anbazhagan | Kumbakonam | DMK | ? 41,73,02,510",Anbazhagan | Kumbakonam | DMK | 6,,,
,"S S Sivashankar | Kunnam | DMK | ? 13,55,94,705",S S Sivashankar | Kunnam | DMK | 46,,,
,"M R K Panneerselvam | Kurinjipadi | DMK | ? 10,93,45,490",M R K Panneerselvam | Kurinjipadi | DMK | 12,,,
Mylai Velu | Mylapore | DMK | NA,"A.soundrapandiyan | Lalgudi | DMK | ? 1,72,90,507",A.soundrapandiyan | Lalgudi | DMK | 12,,,
Aloor Shanavas | Nagapattinam | VCK | 12th Pass,"C.mahendran | Madathukulam | AIADMK | ? 46,40,61,686",C.mahendran | Madathukulam | AIADMK | 0,,,
M.r.gandhi | Nagercoil | BJP | Graduate,"Sudharsanam | Madavaram | DMK | ? 37,26,61,072",Sudharsanam | Madavaram | DMK | 22,,,
P. Ramalingam | Namakkal | DMK | Post Graduate,"Karapakkam Ganapathi | Maduravoyal | DMK | ? 85,30,700",Karapakkam Ganapathi | Maduravoyal | DMK | 0,,,
Ruby R.manoharan | Nanguneri | INC | NA,"P. T. R. Palanivel Thiagarajan | Madurai Central | DMK | ? 38,89,53,333",P. T. R. Palanivel Thiagarajan | Madurai Central | DMK | 4,,,
R.kamaraj | Nannilam | AIADMK | Post Graduate,"P Moorthi | Madurai East | DMK | ? 11,35,69,676",P Moorthi | Madurai East | DMK | 3,,,
Vishwanathan | Natham | AIADMK | Graduate,"Ko Thalapathi | Madurai North | DMK | ? 13,59,25,170",Ko Thalapathi | Madurai North | DMK | 12,,,
Saba Rajendiran | Neyveli | DMK | Graduate Professional,"Bhoominathan | Madurai South | MDMK | ? 7,00,07,388",Bhoominathan | Madurai South | MDMK | 2,,,
S. Thenmozhi | Nilakkottai | AIADMK | 10th Pass,"Sellur K.raju | Madurai West | AIADMK | ? 6,49,04,706",Sellur K.raju | Madurai West | AIADMK | 1,,,
R. Sakkarapani | Oddanchatram | DMK | Graduate,"Maragatham Kumaravel | Madurantakam | AIADMK | ? 3,76,09,491",Maragatham Kumaravel | Madurantakam | AIADMK | 0,,,
R.mani | Omalur | AIADMK | Graduate Professional,"Sivakumar | Mailam | PMK | ? 79,77,225",Sivakumar | Mailam | PMK | 0,,,
Vaithiyalingam | Orathanadu | AIADMK | 12th Pass,"C.kathiravan | Manachanallur | DMK | ? 1,21,21,56,670",C.kathiravan | Manachanallur | DMK | 99,,,
Shanmugayyaa | Ottapidaram | DMK | Graduate Professional,"Tamilarasi | Manamadurai | DMK | ? 2,18,45,568",Tamilarasi | Manamadurai | DMK | 8,,,
Mano Thangaraj | Padmanabhapuram | DMK | Post Graduate,"Abdul Samadh | Manapparai | MMK | ? 10,64,400",Abdul Samadh | Manapparai | MMK | 1,,,
