NTK Candidate List Tamil Nadu Election 2026,NTK Candidate List Tamil Nadu Election 2026
Candidate Name | Assembly Constituency,
Tamil | 158 - Chidambaram,
Sivajothi | 159 - Kattumannarkoil(SC),
Subash | 160 - Sirkazhi,
Kasiraman | 161 - Mayiladuthurai,
Ilaiya Nagulan | 162 - Poompuhar,
Fathima Farhana | 163 - Nagapattinam,
Karthiga | 164 - Kilvelur,
Idumbavanam Karthik | 165 - Vedaranyam,
Vinothini | 166 - Thiruthuraipoondi,
Bharathi Selvan | 167 - Mannargudi,
Ashwini | 168 - Thiruvarur,
Theanmozhi Dileep Kumar | 169 - Nannilam,
Divya Bharathi | 170 - Thiruvidaimarudur,
Ananth | 171 - Kumbakonam,
Aneesh Fathima | 172 - Papanasam,
Senthilnathan | 173 - Thiruvaiyaru,
Krishna Kumar | 174 - Thanjavur,
Thirumurugan | 175 - Orathanadu,
Kannan | 176 - Pattukkottai,
Rajaram | 177 - Peravurani,
Nadiya Tamilselvan | 178 - Gandharvakottai,
Sathya Laxshmi | 179 - Viralimalai,
Ezhilarasi | 180 - Pudukkottai,
Lakshmi Srinivasan | 181 - Thirumayam,
Rajaraman | 182 - Alangudi,
Muthu Lakshmi | 183 - Aranthangi,
Seeman | 184 - Karaikudi,
Ramya mohan | 185 - Tiruppattur,
Indhuja Ramesh | 186 - Sivaganga,
Shanmugapriya | 187 - Manamadurai,
Kottai Kumar | 188 - Melur,
Selvam | 189 - Madurai East,
Nagalakshmi Thirumaran | 190 - Sholavandan,
Thirunavukkarasu | 191 - Madurai North,
Sathya devi | 192 - Madurai South,
Durga kumaraswamy | 193 - Madurai Central,
Vignesh kumar | 194 - Madurai West,
Munis | 195 - Thiruparankundram,
Abirami Dhanapal | 196 - Thirumangalam,
Arunadevi | 197 - Usilampatti,
Vimala | 198 - Andipatti,
Kalaiyarasu | 199 - Periyakulam,
Anbu Selvi | 200 - Bodinayakanur,
Karthik | 201 - Cumbum,
Karikala pandiyan | 202 - Rajapalayam,
Anandha Raja | 203 - Srivilliputhur,
Dayana | 204 - Sattur,
Laxmanan | 205 - Sivakasi,
Manimaran | 206 - Virudhunagar,
Karthick raja | 207 - Aruppukkottai,
Ezhil izhavarasi | 208 - Tiruchuli,
Premnath | 209 - Paramakudi,
Muthu kesavan | 210 - Tiruvadanai,
Chandra Prabha | 211 - Ramanathapuram,
Balaji | 212 - Mudhukulathur,
Jacob Abhishek devadasan | 213 - Vilathikulam,
Obiliya | 214 - Thoothukkudi,
Shanmugasundaram | 215 - Tiruchendur,
Anusiya | 216 - Srivaikuntam,
Pandi | 217 - Ottapidaram,
Kavitha | 218 - Kovilpatti,
Isai Mathivanan | 219 - Sankarankovil,
Abubakar Siddique | 220 - Vasudevanallur,
Gowshik Pandiyan | 221 - Kadayanallur,
Palraj | 222 - Tenkasi,
Sathya | 223 - Alangulam,
Sivasankaran | 224 - Tirunelveli,
Sankara narayanan | 225 - Ambasamudram,
Selvam | 226 - Palayamkottai,
Girija Thamaraipandiyan | 227 - Nanguneri,
Maria Jenifer | 228 - Radhapuram,
Muthukumar | 229 - Kanniyakumari,
Ancy Sobha Rani | 230 - Nagercoil,
Seelan | 231 - Colachel,
Maria Stella | 232 - Padmanabhapuram,
Himler | 233 - Vilavancode,
Killiyoor | 234 - Killiyoor,
