2021 Assembly Election DMK Candidates List,2021 Assembly Election AIADMK Candidates List,2021 Assembly Election BJP Candidates List,2021 Assembly Election INC Candidates,2021 Assembly Election MDMK Candidates List,2021 Assembly Election PMK Candidates List,2021 Assembly Election VCK Candidates List ,2021 Assembly Election PMK Candidates List
Candidate Name | Assembly Constituency | Votes | Vote Share | Result,Candidate Name | Assembly Constituency | Votes | Vote Share | Result,Candidate Name | Assembly Constituency | Votes | Vote Share | Result,Candidate Name | Assembly Constituency | Votes | Vote Share | Result,Candidate Name | Assembly Constituency | Votes | Vote Share | Result,Candidate Name | Assembly Constituency | Votes | Vote Share | Result,Candidate Name | Assembly Constituency | Votes | Vote Share | Result,
---------------------------------------------------------------------------,---------------------------------------------------------------------------,---------------------------------------------------------------------------,---------------------------------------------------------------------------,---------------------------------------------------------------------------,---------------------------------------------------------------------------,---------------------------------------------------------------------------,
"M K Stalin | Kolathur | 1,05,522 | 60.86% | WON","Jayakumar D | Royapuram | 36,645 | 30.24% | LOST","Poondi S.venkatesan | Thiruvaiyaru | 49,560 | 23.44% | LOST","M.r.r.radhakrishnan | Vridhachalam | 77,064 | 39.17% | WON",,"Murali Sankar | Vandavasi | 66,111 | 35.55% | LOST",,
"Vetriyazhagan | Villivakkam | 76,127 | 52.83% | WON","Gokula Indhra | Anna Nagar | 52,609 | 31.87% | LOST","H.raja | Karaikudi | 54,365 | 25.59% | LOST","Rajakumar | Mayiladuthurai | 73,642 | 42.17% | WON",,"Rajendhran | Gingee | 73,822 | 35.68% | LOST",,
"Thayagam Kavi | Thiru-Vi-Ka-Nagar | 81,727 | 61.13% | WON","Ravi | Virugampakkam | 55,984 | 33.11% | LOST","Dr.p.saravanan | Madurai North | 50,094 | 32% | LOST","S.t.ramachandran | Aranthangi | 81,835 | 48.7% | WON",,"Sivakumar | Mailam | 81,044 | 45.79% | WON",,
"Parandhaman | Egmore | 68,832 | 57.71% | WON","S.duraisami | Saidapet | 50,786 | 31.68% | LOST","G.pandurangan | Virudhunagar | 51,958 | 32.13% | LOST","S.mangudi | Karaikudi | 75,954 | 35.75% | WON",,"Dr. Raja | Sankarapuram | 75,223 | 34.86% | LOST",,
"Ira Moorthi | Royapuram | 64,424 | 53.16% | WON","Sathyanarayanan | Thiyagarayanagar | 55,898 | 40.47% | LOST","D.kuppuram | Ramanathapuram | 60,603 | 28.31% | LOST","T. Ravichandran | Melur | 48,182 | 26.36% | LOST",,"Sadhasivam | Mettur | 97,055 | 44.43% | WON",,
"Sekar Babu | Harbour | 59,317 | 58.35% | WON","R.natraj | Mylapore | 55,759 | 36.34% | LOST","Naimar Nagendran | Tirunelveli | 92,282 | 46.7% | WON","P.s.w.madhava Roa | Srivilliputhur | 57,737 | 31.2% | LOST",,"R.arul | Salem (West) | 1,05,483 | 48.69% | WON",,
"Udhayanidhi Stalin | Chepauk-Thiruvallikeni | 93,285 | 67.89% | WON","M.k.ashok | Velachery | 64,141 | 36.3% | LOST","M.r.gandhi | Nagercoil | 88,804 | 48.21% | WON","A.m.s.g.ashokan | Sivakasi | 78,947 | 42.66% | WON",,"Tilaga Bama | Athoor | 30,238 | 13.15% | LOST",,
"Dr. Ezhilan | Thousand Lights | 71,437 | 52.81% | WON","K.b.kandhan | Shozhinganallur | 1,36,153 | 35.06% | LOST","P.ramesh | Colachel | 65,849 | 35.99% | LOST","R.m.karumanickam | Tiruvadanai | 79,364 | 39.33% | WON",,"K.balu | Jayankondam | 94,077 | 43.48% | LOST",,
"M K Mohan | Anna Nagar | 80,054 | 48.49% | WON","Valarmathi | Alandur | 76,214 | 32.06% | LOST","R.jayaseelan | Vilavancode | 58,804 | 35.04% | LOST","Urvasi S.amirtharaj | Srivaikuntam | 76,843 | 46.75% | WON",,"J.karthikeyan | Vridhachalam | 76,202 | 38.73% | LOST",,
"A M V Prabhakar Raja | Virugampakkam | 74,351 | 43.97% | WON","Palani | Sriperumbudur | 1,04,474 | 39.53% | LOST",,"S.palani Nadar | Tenkasi | 89,315 | 41.71% | WON",,"Jegan | Neyveli | 74,200 | 45.21% | LOST",,
"Ma Subramaniam | Saidapet | 80,194 | 50.02% | WON","C. Rajendran | Pallavaram | 88,646 | 33.3% | LOST",,"Ruby R.manoharan | Nanguneri | 75,902 | 39.43% | WON",,"Siththamalli Palanisamy | Mayiladuthurai | 70,900 | 40.6% | LOST",,
"J Karunanidhi | Thiyagarayanagar | 56,035 | 40.57% | WON","Tkm Chinnaiah | Tambaram | 80,016 | 32.14% | LOST",,"Prince | Colachel | 90,681 | 49.56% | WON",,"Vadivel Ravanan S | Kilvelur | 51,003 | 35.67% | LOST",,
"Mylai Velu | Mylapore | 68,392 | 44.58% | WON","Gajendran | Chengalpattu | 1,03,908 | 37.91% | LOST",,"Vijayatharani | Vilavancode | 87,473 | 52.12% | WON",,,,
"Aravind Ramesh | Shozhinganallur | 1,71,558 | 44.18% | WON","Kanitha Sampath | Cheyyur | 78,708 | 43.94% | LOST",,"S.rajeshkumar | Killiyoor | 1,01,541 | 59.76% | WON",,,,
"Tha Mo Anbarasan | Alandur | 1,16,785 | 49.12% | WON","Maragatham Kumaravel | Madurantakam | 86,646 | 46.62% | WON",,,,,,
"Karunanidhi | Pallavaram | 1,26,427 | 47.49% | WON","Somasundaram | Uthiramerur | 91,805 | 43.61% | LOST",,,,,,
"S R Raja | Tambaram | 1,16,840 | 46.93% | WON","Ravi | Arakkonam | 85,399 | 49.82% | WON",,,,,,
"Varalakshmi Madhusoodhanan | Chengalpattu | 1,30,573 | 47.64% | WON","V.ramu | Katpadi | 84,394 | 45.31% | LOST",,,,,,
"Sundar | Uthiramerur | 93,427 | 44.38% | WON","Sukumar | Ranipet | 86,793 | 41.84% | LOST",,,,,,
"Ezhilarasan | Kancheepuram | 1,02,712 | 44.77% | WON","S.r.k.appu | Vellore | 75,118 | 41.76% | LOST",,,,,,
"Durai Murugan | Katpadi | 85,140 | 45.71% | WON","Velazhagan | Anaikattu | 88,799 | 44.89% | LOST",,,,,,
"Gandhi | Ranipet | 1,03,291 | 49.79% | WON","J.paridha | Gudiyattam | 93,511 | 44.19% | LOST",,,,,,
"J L Eeswarappan | Arcot | 1,03,885 | 49.52% | WON","Senthilkumar | Vaniyambadi | 88,018 | 46.33% | WON",,,,,,
"Karthikeyan | Vellore | 84,299 | 46.86% | WON","Najar Mohammad | Ambur | 70,244 | 39.49% | LOST",,,,,,
"Nandhakumar | Anaikattu | 95,159 | 48.11% | WON","Kc Veeramani | Jolarpet | 88,399 | 45.02% | LOST",,,,,,
"K Seethaaraman | Kilvaithinankuppam | 73,997 | 42.5% | LOST","T.m.tamilselvm | Uthangarai | 99,675 | 52.96% | WON",,,,,,
"V Amalu | Gudiyattam | 1,00,412 | 47.45% | WON","A.krishnan | Bargur | 84,642 | 42.8% | LOST",,,,,,
"A S Viswanathan | Ambur | 90,476 | 50.86% | WON","Ashok Kumar | Krishnagiri | 96,050 | 45.38% | WON",,,,,,
"Devaraji | Jolarpet | 89,490 | 45.57% | WON","K.p. Munusamy | Veppanahalli | 94,104 | 45.87% | WON",,,,,,
"Nallathambi | Tirupattur | 96,522 | 51.91% | WON","Jothi Balakrishna | Hosur | 1,05,864 | 42.67% | LOST",,,,,,
"Madhiyazhagan | Bargur | 97,256 | 49.17% | WON","K.p.anbazhagan | Palacode | 1,10,070 | 53.28% | WON",,,,,,
"Senguttuvan | Krishnagiri | 95,256 | 45.01% | LOST","A.govindasami | Pappireddippatti | 1,14,507 | 51.81% | WON",,,,,,
"Murugan | Veppanahalli | 91,050 | 44.38% | LOST","V.sampathkumar | Harur | 99,061 | 49.89% | WON",,,,,,
"Y Prakash | Hosur | 1,18,231 | 47.65% | WON","Nainakannu | Chengam | 96,511 | 43.09% | LOST",,,,,,
"P K Murugan | Palacode | 81,970 | 39.68% | LOST","V.paneerselvam | Kalasapakkam | 84,912 | 43.23% | LOST",,,,,,
"P.n.p.inbasekaran | Pennagaram | 84,937 | 40.39% | LOST","Agri Krishnamoorthy | Polur | 97,732 | 48.38% | WON",,,,,,
"Thadangam Subiramani | Dharmapuri | 78,770 | 36.24% | LOST","Sevur Ramachandran | Arani | 1,02,961 | 46.5% | WON",,,,,,
"M.prabhu Rajasekar | Pappireddippatti | 77,564 | 35.1% | LOST","Mohan | Cheyyar | 90,189 | 42.05% | LOST",,,,,,
"Mu Pe Giri | Chengam | 1,08,081 | 48.26% | WON","Arjunan | Tindivanam | 87,152 | 47.74% | WON",,,,,,
